galaxyID,x,y,z,mag_r
1001655,31.164892,24.489985,2.9797862,-13.420116
1001677,31.091923,23.959496,3.1351638,-15.967176
1001711,31.098969,24.526943,3.1846535,-16.107182
1001741,31.290625,24.803696,3.3206608,-17.215645
1001783,31.330938,24.820677,3.3288906,-20.114582
1001880,31.08892,24.638647,3.1012156,-15.512786
1001896,31.255335,24.532423,3.3859575,-18.562418
1001947,31.504976,24.402372,3.2923744,-17.104193
1001987,31.317324,24.418612,3.2946134,-19.246872
1002051,31.318596,24.475777,3.3488555,-20.206009
1002146,31.170294,24.658133,3.1500785,-17.73287
1002189,31.098982,24.64733,3.228711,-17.26265
1002229,31.282154,25.007658,3.2338595,-18.05188
1002282,31.067163,24.96531,3.1950994,-19.322357
1002320,31.554745,25.246958,2.533683,-16.17229
1002355,31.425192,24.58423,3.3552244,-17.06913
1002406,31.344423,25.113827,2.7284021,-15.476509
1002427,30.896029,24.747025,3.094503,-18.517096
1002480,31.895685,24.057919,2.8837242,-16.210983
1002511,31.365793,24.548859,3.4550865,-15.333996
1002522,31.265097,25.206762,2.9960082,-16.612162
1002554,30.843868,24.749208,3.164489,-17.820055
1002599,31.092333,24.02184,3.4933748,-19.22298
1002674,30.941624,24.757856,3.0118341,-14.440089
1002687,31.073738,24.28265,3.524483,-18.355688
1002735,30.987185,24.47222,3.4630742,-16.336966
1002762,31.168888,24.93543,2.9273963,-17.47826
1002804,30.687708,24.828865,3.4716473,-17.782368
1002840,31.386442,24.710613,3.1825056,-14.448928
1002858,31.543093,24.433142,3.1262605,-15.342286
1002874,31.173655,24.164816,3.3479002,-17.303772
1002905,31.458931,24.860447,3.3945477,-17.109446
1002934,31.230112,24.751255,2.984256,-20.949854
1003098,31.278631,24.751575,3.1541822,-15.334275
1003125,31.317379,24.24325,3.5375717,-18.97911
1003180,31.257166,25.098,2.6833875,-17.070602
1003210,31.33577,25.18974,3.1147902,-17.730537
1003246,31.460484,25.244999,2.862277,-22.75643
1003560,31.503794,25.297338,2.7436588,-15.722405
1003592,31.585548,25.296478,2.8663151,-16.736103
1003632,31.373634,25.065905,2.9487653,-16.06843
1003663,31.427551,25.240513,2.8766124,-15.051166
1003717,31.346115,25.074478,3.1206071,-16.649622
1003752,31.2183,24.959265,3.0315351,-14.511382
1003773,31.23925,24.913029,2.8354678,-21.956203
1004005,31.449705,24.926203,2.8731897,-11.280102
1004034,31.355186,24.950565,2.884768,-14.738525
1004065,31.091902,24.805834,3.009427,-16.038317
1004119,30.955875,25.202093,2.8419986,-15.06579
1004168,31.279255,24.914316,2.7717192,-17.998869
1004224,31.255018,25.075745,2.7513895,-18.033386
1004262,31.014856,24.450205,3.3950002,-21.468794
1004479,30.893997,24.443663,3.4709918,-13.695523
1004503,30.969782,24.341036,2.9334614,-16.153976
1004536,31.506052,24.968332,3.4804955,-21.286215
1004605,30.943426,24.409712,3.8468184,-20.720615
1004685,30.950222,24.37063,4.01759,-17.373108
1004723,30.969837,24.443771,3.8029811,-17.215435
1004759,30.690317,24.449318,3.4515553,-20.923838
1004855,31.29827,24.328886,3.4226646,-21.581074
1004979,31.286232,24.140648,3.1618407,-15.930189
1005007,30.942196,24.317364,3.5095742,-21.424213
1005136,30.89905,24.32032,3.5663455,-15.635534
1005173,30.871784,24.0656,2.8631911,-19.984804
1005248,30.771036,24.066454,2.7960467,-16.386284
1005284,31.244204,24.95838,2.901425,-20.944729
1005433,31.406847,25.114697,2.8433125,-15.970298
1005463,31.485716,24.488277,3.2323954,-20.369837
1005575,31.56321,24.68346,3.8007197,-20.124989
1005636,31.784555,24.624403,4.108137,-14.054467
1005664,31.635899,24.546003,4.045446,-15.526512
1005697,31.57199,24.202133,3.1894822,-19.44512
1005744,31.50367,25.104204,2.8816063,-20.382292
1005839,30.973623,25.305231,3.2414148,-20.331417
1005881,31.186337,24.286852,3.9031687,-18.703518
1005918,31.711792,25.05661,2.5358944,-18.492657
1005977,30.845003,24.12513,3.2880955,-19.571587
1006022,30.572498,24.074932,2.8631864,-19.102253
1006121,31.732216,25.09004,2.8340714,-19.275595
1006169,31.52542,24.840324,3.530524,-19.42353
1006220,31.281424,25.229527,3.0807333,-18.363861
1006259,31.648561,25.10476,3.3440027,-17.923065
1006298,30.658657,24.859089,3.5636368,-18.199343
1006342,31.009638,25.15111,3.2475033,-18.2532
1006387,31.25795,25.092567,3.048298,-19.304762
1006424,31.427145,25.138474,3.1910229,-11.135042
1006437,31.319807,24.721043,3.1459537,-21.418732
1006560,31.293196,23.836971,2.8355417,-17.91755
1006601,31.205639,24.810455,2.8060203,-20.331799
1006683,31.381342,24.14949,3.4947991,-17.83012
1006724,31.233604,24.645985,3.238444,-21.43002
1006934,31.334578,24.778656,3.210875,-16.88698
1006970,31.172361,24.542479,3.2796078,-17.321991
1007011,31.126062,24.569725,3.191849,-16.823505
1007051,30.673645,25.064848,2.9619675,-14.38962
1007070,31.367615,24.273193,3.1617498,-18.626606
1007111,31.24663,24.407772,3.2984867,-20.376045
1007169,31.447168,24.19462,3.4215014,-17.12272
1007186,31.179749,24.582132,2.67549,-17.53832
1007211,31.152884,25.242203,2.4788444,-16.765942
1007234,30.90459,24.829676,3.1782608,-18.802916
1007280,31.130909,24.05299,3.2145019,-18.008495
1007321,31.363314,25.520212,3.132454,-16.99883
1007349,31.691448,25.52751,2.5431972,-17.41361
1007390,31.190536,24.101875,3.466972,-17.2893
1007426,30.970182,24.287933,2.8668928,-14.839354
1007438,31.649029,25.224281,2.7298582,-16.794523
1007474,31.241276,24.706518,2.5726514,-15.263526
1007495,31.042892,24.845776,3.3421397,-19.118895
2000000,27.40397,29.87746,9.177303,-22.968367
2000770,27.470694,29.883919,9.2133,-15.5932865
2000813,27.445604,29.924181,9.274441,-15.848978
2000856,27.508608,29.880634,9.201269,-16.546526
2000900,27.337584,30.018028,9.1096325,-16.550623
2000945,27.346216,29.857574,9.2110815,-20.137238
2001012,27.312435,29.95549,9.648317,-16.484121
2001052,27.390558,29.875774,9.142244,-16.389126
2001125,27.372993,29.922045,9.152066,-15.101798
2001159,27.447044,30.01671,9.071085,-17.126469
